cityName,bedrooms,month,Final_Price_Index,Final_Quantity_Index
Hyderabad,1-BHK,2019-03-01,121.77,39.0072293
Hyderabad,1-BHK,2019-04-01,124.48,39.53007562
Hyderabad,1-BHK,2019-05-01,126.04,37.28885532
Hyderabad,1-BHK,2019-06-01,126.02,22.70457039
Hyderabad,1-BHK,2019-07-01,134.64,90.81311299
Hyderabad,1-BHK,2019-08-01,139.75,107.1214299
Hyderabad,1-BHK,2019-09-01,137.76,100.7085232
Hyderabad,1-BHK,2019-10-01,143.06,90.68345576
Hyderabad,1-BHK,2019-11-01,143.06,97.10686721
Hyderabad,1-BHK,2019-12-01,142.97,55.59693966
Hyderabad,1-BHK,2020-01-01,156.04,61.0782743
Hyderabad,1-BHK,2020-02-01,156.05,36.54449966
Hyderabad,1-BHK,2020-03-01,156.05,22.77536354
Hyderabad,1-BHK,2020-04-01,157.55,7.576675324
Hyderabad,1-BHK,2020-05-01,157.5,20.72096451
Hyderabad,1-BHK,2020-06-01,157.5,27.62795268
Hyderabad,1-BHK,2020-07-01,157.5,22.6943897
Hyderabad,1-BHK,2020-08-01,161.02,29.20653045
Hyderabad,1-BHK,2020-09-01,161.02,37.01172393
Hyderabad,1-BHK,2020-10-01,157.06,20.64953346
Hyderabad,1-BHK,2020-11-01,156.97,172.2035256
Hyderabad,1-BHK,2020-12-01,157.06,6.883177819
India,1-BHK,2017-01-01,100.0,100.0
India,1-BHK,2017-02-01,100.33,107.2457576
India,1-BHK,2017-03-01,100.11,102.878203
India,1-BHK,2017-04-01,100.75,116.8634035
India,1-BHK,2017-05-01,100.85,99.98835863
India,1-BHK,2017-06-01,101.62,102.9662002
India,1-BHK,2017-07-01,102.31,106.505541
India,1-BHK,2017-08-01,103.04,110.496697
India,1-BHK,2017-09-01,103.85,106.7080938
India,1-BHK,2017-10-01,103.86,94.24435978
India,1-BHK,2017-11-01,103.9,99.03402144
India,1-BHK,2017-12-01,104.47,102.6843965
India,1-BHK,2018-01-01,105.53,165.3153342
India,1-BHK,2018-02-01,105.1,116.829865
India,1-BHK,2018-03-01,104.97,122.9954786
India,1-BHK,2018-04-01,105.52,131.3695139
India,1-BHK,2018-05-01,105.2,114.2211689
India,1-BHK,2018-06-01,106.29,117.6449578
India,1-BHK,2018-07-01,106.88,116.7944515
India,1-BHK,2018-08-01,106.34,118.7220114
India,1-BHK,2018-09-01,107.41,123.8628864
India,1-BHK,2018-10-01,106.95,138.1812446
India,1-BHK,2018-11-01,107.43,116.225027
India,1-BHK,2018-12-01,107.85,112.7792956
India,1-BHK,2019-01-01,108.52,125.8658589
India,1-BHK,2019-02-01,108.49,105.3796122
India,1-BHK,2019-03-01,108.32,106.1068137
India,1-BHK,2019-04-01,108.42,132.3041646
India,1-BHK,2019-05-01,108.41,118.020913
India,1-BHK,2019-06-01,108.81,110.18212
India,1-BHK,2019-07-01,108.64,128.3757456
India,1-BHK,2019-08-01,109.5,106.8924581
India,1-BHK,2019-09-01,109.66,100.9893081
India,1-BHK,2019-10-01,109.84,112.4743176
India,1-BHK,2019-11-01,109.53,105.7367458
India,1-BHK,2019-12-01,110.23,99.51374925
India,1-BHK,2020-01-01,109.73,133.4999738
India,1-BHK,2020-02-01,110.01,107.0572209
India,1-BHK,2020-03-01,110.18,94.60363594
India,1-BHK,2020-04-01,109.76,15.17372204
India,1-BHK,2020-05-01,109.92,23.84338775
India,1-BHK,2020-06-01,110.35,27.1988027
India,1-BHK,2020-07-01,110.78,42.83339057
India,1-BHK,2020-08-01,110.67,38.66692585
India,1-BHK,2020-09-01,111.47,37.56863966
India,1-BHK,2020-10-01,111.3,92.75869469
India,1-BHK,2020-11-01,111.65,85.50114254
India,1-BHK,2020-12-01,111.53,62.55100954
Kolkata,1-BHK,2017-01-01,100.0,100.0
Kolkata,1-BHK,2017-02-01,100.64,89.49729717
Kolkata,1-BHK,2017-03-01,104.16,102.7649382
Kolkata,1-BHK,2017-04-01,103.37,98.71095283
Kolkata,1-BHK,2017-05-01,100.41,74.61386283
Kolkata,1-BHK,2017-06-01,103.59,73.86136604
Kolkata,1-BHK,2017-07-01,101.94,89.68202217
Kolkata,1-BHK,2017-08-01,105.29,67.98544827
Kolkata,1-BHK,2017-09-01,100.29,60.9480933
Kolkata,1-BHK,2017-10-01,97.37,66.57061175
Kolkata,1-BHK,2017-11-01,101.65,53.3911861
Kolkata,1-BHK,2017-12-01,101.4,38.53969554
Kolkata,1-BHK,2018-01-01,99.5,102.6244208
Kolkata,1-BHK,2018-02-01,101.01,61.34082111
Kolkata,1-BHK,2018-03-01,106.48,57.39965181
Kolkata,1-BHK,2018-04-01,105.03,36.2417634
Kolkata,1-BHK,2018-05-01,104.11,56.46416464
Kolkata,1-BHK,2018-06-01,104.78,971.0235146
Kolkata,1-BHK,2018-07-01,116.48,41.1063685
Kolkata,1-BHK,2018-08-01,101.48,45.66200601
Kolkata,1-BHK,2018-09-01,104.37,51.97839098
Kolkata,1-BHK,2018-10-01,101.93,47.07325816
Kolkata,1-BHK,2018-11-01,101.0,68.89970745
Kolkata,1-BHK,2018-12-01,98.62,65.28466374
Kolkata,1-BHK,2019-01-01,99.13,61.54863744
Kolkata,1-BHK,2019-02-01,96.47,61.71704231
Kolkata,1-BHK,2019-03-01,100.32,58.2443528
Kolkata,1-BHK,2019-04-01,97.11,49.72048586
Kolkata,1-BHK,2019-05-01,102.73,57.37431713
Kolkata,1-BHK,2019-06-01,101.01,56.9519582
Kolkata,1-BHK,2019-07-01,101.44,68.01397477
Kolkata,1-BHK,2019-08-01,99.93,51.13833677
Kolkata,1-BHK,2019-09-01,101.24,48.89579128
Kolkata,1-BHK,2019-10-01,97.59,52.53144957
Kolkata,1-BHK,2019-11-01,103.03,52.40481996
Kolkata,1-BHK,2019-12-01,104.15,57.7981731
Kolkata,1-BHK,2020-01-01,109.2,51.33610178
Kolkata,1-BHK,2020-02-01,101.97,49.33043037
Kolkata,1-BHK,2020-03-01,102.8,44.65196433
Kolkata,1-BHK,2020-04-01,101.38,6.55986516
Kolkata,1-BHK,2020-05-01,101.16,4.208001605
Kolkata,1-BHK,2020-06-01,103.3,18.13355474
Kolkata,1-BHK,2020-07-01,113.94,23.93923784
Kolkata,1-BHK,2020-08-01,115.52,29.0887432
Kolkata,1-BHK,2020-09-01,109.6,26.9419963
Kolkata,1-BHK,2020-10-01,108.61,41.31905571
Kolkata,1-BHK,2020-11-01,102.74,31.43739738
Kolkata,1-BHK,2020-12-01,105.4,20.507449
Mumbai,1-BHK,2017-01-01,100.0,100.0
Mumbai,1-BHK,2017-02-01,100.46,100.1526316
Mumbai,1-BHK,2017-03-01,100.28,102.8133492
Mumbai,1-BHK,2017-04-01,100.93,118.8779432
Mumbai,1-BHK,2017-05-01,101.08,102.9639718
Mumbai,1-BHK,2017-06-01,102.07,104.4587019
Mumbai,1-BHK,2017-07-01,102.7,107.4657397
Mumbai,1-BHK,2017-08-01,103.64,116.9770854
Mumbai,1-BHK,2017-09-01,104.78,109.5230762
Mumbai,1-BHK,2017-10-01,104.82,96.434939
Mumbai,1-BHK,2017-11-01,104.56,101.7425689
Mumbai,1-BHK,2017-12-01,105.32,103.4507375
Mumbai,1-BHK,2018-01-01,106.63,156.0447373
Mumbai,1-BHK,2018-02-01,106.27,115.8226717
Mumbai,1-BHK,2018-03-01,105.97,121.7060901
Mumbai,1-BHK,2018-04-01,106.41,125.9073885
Mumbai,1-BHK,2018-05-01,106.27,114.2157634
Mumbai,1-BHK,2018-06-01,107.49,109.5181651
Mumbai,1-BHK,2018-07-01,108.15,111.4328989
Mumbai,1-BHK,2018-08-01,107.65,115.1615997
Mumbai,1-BHK,2018-09-01,108.66,120.3504099
Mumbai,1-BHK,2018-10-01,107.89,135.6835734
Mumbai,1-BHK,2018-11-01,108.49,111.4392053
Mumbai,1-BHK,2018-12-01,108.6,106.2061212
Mumbai,1-BHK,2019-01-01,109.59,121.5764364
Mumbai,1-BHK,2019-02-01,109.36,98.35866567
Mumbai,1-BHK,2019-03-01,109.15,100.9201742
Mumbai,1-BHK,2019-04-01,108.85,126.5755396
Mumbai,1-BHK,2019-05-01,108.73,116.7732352
Mumbai,1-BHK,2019-06-01,109.35,109.1286298
